E1,E2,E3,E4,E5,E6
0.0,0.0,346.0,463.0,535.0,501.0
0.0,0.0,346.0,463.0,533.0,501.0
0.0,0.0,346.0,463.0,533.0,413.0
0.0,0.0,346.0,463.0,533.0,413.0
0.0,74.0,366.0,468.0,541.0,456.0
0.0,74.0,366.0,468.0,541.0,456.0
0.0,331.0,366.0,468.0,541.0,456.0
0.0,331.0,368.0,467.0,538.0,492.0
0.0,331.0,368.0,467.0,538.0,492.0
0.0,881.0,365.0,482.0,536.0,503.0
0.0,881.0,365.0,482.0,536.0,503.0
0.0,394.0,353.0,471.0,530.0,368.0
0.0,394.0,353.0,471.0,530.0,368.0
0.0,117.0,365.0,467.0,536.0,495.0
0.0,117.0,365.0,467.0,536.0,495.0
0.0,5.0,358.0,464.0,536.0,495.0
0.0,5.0,358.0,464.0,532.0,495.0
0.0,0.0,364.0,464.0,535.0,336.0
0.0,0.0,364.0,464.0,535.0,336.0
0.0,0.0,364.0,464.0,535.0,336.0
0.0,0.0,344.0,464.0,537.0,385.0
0.0,0.0,344.0,464.0,537.0,385.0
0.0,0.0,366.0,464.0,537.0,385.0
0.0,0.0,366.0,464.0,544.0,385.0
0.0,31.0,366.0,464.0,544.0,359.0
0.0,31.0,366.0,464.0,544.0,359.0
0.0,969.0,345.0,486.0,536.0,464.0
0.0,969.0,345.0,486.0,536.0,464.0
0.0,959.0,365.0,484.0,530.0,482.0
0.0,959.0,365.0,484.0,530.0,482.0
0.0,994.0,367.0,494.0,531.0,468.0
0.0,994.0,367.0,494.0,531.0,468.0
0.0,21.0,352.0,469.0,531.0,480.0
0.0,21.0,352.0,469.0,531.0,480.0
0.0,0.0,364.0,461.0,528.0,389.0
0.0,0.0,364.0,461.0,528.0,389.0
0.0,0.0,364.0,461.0,528.0,389.0
0.0,0.0,364.0,461.0,528.0,389.0
0.0,0.0,362.0,464.0,529.0,304.0
0.0,0.0,362.0,464.0,529.0,304.0
0.0,0.0,348.0,464.0,533.0,336.0
0.0,0.0,348.0,464.0,533.0,336.0
0.0,0.0,352.0,461.0,533.0,401.0
0.0,0.0,352.0,461.0,533.0,401.0
0.0,0.0,347.0,464.0,533.0,490.0
0.0,0.0,347.0,464.0,533.0,490.0
0.0,0.0,347.0,464.0,533.0,490.0
0.0,766.0,367.0,487.0,543.0,481.0
0.0,766.0,367.0,487.0,543.0,481.0
0.0,759.0,350.0,479.0,535.0,498.0
0.0,759.0,350.0,479.0,535.0,498.0
0.0,35.0,351.0,466.0,535.0,511.0
0.0,35.0,351.0,466.0,535.0,511.0
